Name,Accepted Materials,Address,County,Phone Number
Atlantic County Utilities Authority Intermediate Processing Facility,Cardboard* Glass* Metal* Paper* Plastic(1*2*3*4*5*6*7),6700 Delilah Road* Egg Harbor Township* NJ,Atlantic,609-272-6913
Waste Management Recycle America,Carboard* Glass* Metal* Paper* Plastic(1*2*5),1164 Route 54* Williamstown* NJ,Atlantic,609-567-2398
Abbey Metal Corp.,Metal,59 Grand St.* Moonachie* NJ,Bergen,N/A
Allied Waste,Metal,61 Midland Ave* Wallington* NJ,Bergen,N/A
Bergem Recycling,Metal,18 Hill Place* Bergenfield* NJ,Bergen,N/A
Cinelli Iron & Metal,Metal,109 McKinley St* Hackensack* NJ,Bergen,N/A
Cirello Iron & Steel Co.,Metal,416 Lanza Ave.* Saddle Brook* NJ,Bergen,N/A
Curcio Scrap Metal,Metal,416 Lanza Ave.* Saddle Brook* NJ,Bergen,N/A
Dabal & Sons,Metal,246 Division Ave.* Garfield* NJ,Bergen,N/A
Miele Sanitation Co.* Inc.,Cardboard* Glass* Metal* Paper Plastic(1*2*3*4*5*6*7),60 Railroad Ave.* Closter* NJ,Bergen,201-768-5407
Robert C. Shinn* Jr. Recycling Center,Cardboard* Food* Glass* Metal* Paper* Plastic(1*2),130 Hancock Lane* Westampton* NJ,Burlington,609-267-6665
Camden Iron & Metal,Metal,P.O. Box 496* Camden* NJ,Camden,856-365-7500
National Paper Recycling,Cardboard* Glass* Metal* Paper* Plastic(1*2*3*4*5*6*7),1531 Ferry Ave.* Camden* NJ,Camden,856-966-1903
ReCommunity Recycling Intermediate Processing Facility,Cardboard* Glass* Metal* Paper* Plastic(1*2),2201 Mt. Ephraim Avenue* Camden* NJ,Camden,856-342-7503
R. Fanelle's Sons,Metal,1466 Ferry Road* Camden* NJ,Camden,856-964-1955
Cape May County Municipal Utilities Authority Intermediate Processing Facility,Cardboard* Glass* Metal* Paper* Plastic(1*2),2046 Route 610* Woodbine Borough* NJ,Cape May,609-465-9026
Raff's Recycling,Cardboard* Metal* Paper* Plastic(1*2*3*4*5*6*7),209 Goshen Road* Cape May Court House* NJ,Cape May,609-465-7407
Cumberland County Solid Waste Complex,Cardboard* Glass* Metal* Paper* Plastic(1*2*4*5*7),169 Jesse Bridge Road* Deerfield* NJ,Cumberland,856-825-3700
Cumberland Recycling Corporation,Cardboard* Paper,702 Southwest Blvd.* Vineland* NJ,Cumberland,856-692-7650
Cumberland Recycling Corporation,Metal,2159 North 2nd Street* Millville* NJ,Cumberland,856-825-4153
Giordano Vineland Scrap Metal,Cardboard* Metal* Paper* Plastic(1*2*3*4*5*6*7),110 N. Mill Road Vineland* NJ,Cumberland,856-696-2068
Dublin Scrap Metal* Inc.,Metal,489 Frelinghuysen Ave.* Newark* NJ,Essex,973-622-0400
G&F Recycling & Salvage Intermediate Processing Facility,Cardboard* Glass* Metal* Paper* Plastic(1*2),142-156 Frelinghuysen Ave. Newark* NJ,Essex,973-242-2250
Giordano Company* Inc. Intermediate Processing Facility,Cardboard* Glass* Metal* Paper* Plastic(1*2),142 Frelinghuysen Avenue* Newark* NJ,Essex,800-216-2250
Newark Group* Inc.,Cardboard* Metal* Paper* Plastic(1*2*3*4*5*6*7),60 Lockwood Street* Newark* NJ,Essex,973-465-3900
Recycle City,Cardboard* Metal* Paper* Plastic(1*2*3*4*5*6*7),16 Herbert Street* Newark* NJ,Essex,973-732-9009
Waste Management Recycle America Intermediate Processing Facility,Cardboard* Glass* Metal* Paper* Plastic(1*2),150 St. Charles Street* Newark* NJ,Essex,973-344-3003
Waste Management Recycle America,Cardboard,292 Marlin Street* Port Newark* NJ,Essex,973-589-4017
YES Recycling* Inc.,Cardboard* Glass* Metal* Paper* Plastic(1*2*3*4*5*6*7),363 South Street  Newark* NJ,Essex,866-651-4797
DocuVault Delaware Valley* LLC,Electronic* Paper,1240 Forest Parkway* Suite 100* West Deptford* NJ,Gloucester,856-853-5160
OMNI Recycling Intermediate Processing Facility,Cardboard* Glass* Metal* Paper* Plastic(1*2),408 Lambs Road*  Pitman* NJ,Gloucester,856-589-7400
TLJ Recycling & Container Services* LLC,Cardboard* Glass* Metal* Paper* Plastic(1*2),1014 Tanyard Rd* Deptford* NJ,Gloucester,856-468-2229
